id_candidato,camada,infra_aeronautica,nome,lat,lon,tipo_local,tlof_m,resistencia_t,op_diurna,op_noturna,apto_triagem,motivo_exclusao,agrupamento_id,representante_agrupamento,fonte,fonte_id,codigo_oaci
CAN-0001,heliponto,existente,Aché Faria Lima,-23.560833,-46.694167,Elevado,21,4.5,VFR,VFR,TRUE,,CAN-0001,TRUE,anac_helipontos,SP0335,SDGG
CAN-0002,heliponto,existente,Akron,-23.609167,-46.605833,Elevado,19.6,3,VFR,,FALSE,resistencia cadastral abaixo do mtow evtol de referencia,CAN-0002,TRUE,anac_helipontos,SP0829,SWSK
CAN-0003,heliponto,existente,Alice Maria Sampaio Ferreira,-23.611111,-46.694167,Elevado,18,4,VFR,VFR,TRUE,,CAN-0003,TRUE,anac_helipontos,SP0678,SJXP
CAN-0004,heliponto,existente,Arena Corinthians,-23.544167,-46.477778,No solo,21,5,VFR,VFR,TRUE,,CAN-0004,TRUE,anac_helipontos,SP1309,SBOP
CAN-0005,heliponto,existente,Atrium VI.Com,-23.595556,-46.6875,Elevado,21,4,VFR,VFR,TRUE,,CAN-0005,TRUE,anac_helipontos,SP0600,SJBP
CAN-0006,heliponto,existente,Attilio Tinelli,-23.6025,-46.693611,Elevado,19.5,3,VFR,VFR,FALSE,resistencia cadastral abaixo do mtow evtol de referencia,CAN-0006,TRUE,anac_helipontos,SP0399,SDOT
CAN-0007,heliponto,existente,Avenida Consolação 1601,-23.551389,-46.655556,Elevado,21,4.5,VFR,VFR,TRUE,,CAN-0007,TRUE,anac_helipontos,SP0864,SS4B
CAN-0008,heliponto,existente,Banco Bradesco Av. Paulista,-23.562222,-46.655,Elevado,18,4,VFR,VFR,TRUE,,CAN-0008,TRUE,anac_helipontos,SP0386,SDMT
CAN-0009,heliponto,existente,Banco Induscred,-23.564167,-46.655556,Elevado,19.8,4,VFR,VFR,TRUE,,CAN-0009,TRUE,anac_helipontos,SP0466,SIBG
CAN-0010,heliponto,existente,Banco Industrial,-23.591944,-46.685556,Elevado,20,4,VFR,Sem Operação,TRUE,,CAN-0010,TRUE,anac_helipontos,SP0292,SDAW
CAN-0011,heliponto,existente,Banco Safra,-23.558056,-46.659722,Elevado,24,6,VFR,VFR,TRUE,,CAN-0011,TRUE,anac_helipontos,SP0421,SDSZ
CAN-0012,heliponto,existente,Banco Santander,-23.590833,-46.690833,Elevado,21,4,VFR,VFR,TRUE,,CAN-0012,TRUE,anac_helipontos,SP0808,SWHH
CAN-0013,heliponto,existente,Banco Santander,-23.652222,-46.713889,Elevado,21,4,VFR,VFR,TRUE,,CAN-0013,TRUE,anac_helipontos,SP0391,SDNR
CAN-0014,heliponto,existente,Banco Sofisa,-23.562778,-46.655833,Elevado,18,3,VFR,VFR,FALSE,resistencia cadastral abaixo do mtow evtol de referencia,CAN-0008,FALSE,anac_helipontos,SP0792,SSZE
CAN-0015,heliponto,existente,Bandeirantes,-23.595,-46.710556,Elevado,18,3,VFR,Sem Operação,FALSE,resistencia cadastral abaixo do mtow evtol de referencia,CAN-0015,TRUE,anac_helipontos,SP0296,SDBH
CAN-0016,heliponto,existente,Bela Cintra,-23.553889,-46.658611,Elevado,18,4,VFR,VFR,TRUE,,CAN-0016,TRUE,anac_helipontos,SP0692,SNBQ
CAN-0017,heliponto,existente,Beneficência Portuguesa,-23.567778,-46.641389,Elevado,20,4,VFR,VFR,TRUE,,CAN-0017,TRUE,anac_helipontos,SP0298,SDBM
CAN-0018,heliponto,existente,Berrini One,-23.598333,-46.690556,Elevado,21,4.5,VFR,VFR,TRUE,,CAN-0018,TRUE,anac_helipontos,SP0554,SITO
CAN-0019,heliponto,existente,Bertolucci,-23.585833,-46.680278,Elevado,18,4,VFR,VFR,TRUE,,CAN-0019,TRUE,anac_helipontos,SP0339,SDGS
CAN-0020,heliponto,existente,Birmann 21,-23.565278,-46.702222,Elevado,18,3,VFR,VFR,FALSE,resistencia cadastral abaixo do mtow evtol de referencia,CAN-0020,TRUE,anac_helipontos,SP0389,SDNN
CAN-0021,heliponto,existente,Birmann 29,-23.588611,-46.681111,Elevado,24,6,VFR,VFR,TRUE,,CAN-0021,TRUE,anac_helipontos,SP0309,SDDH
CAN-0022,heliponto,existente,Birmann 31,-23.59,-46.681944,Elevado,21,4,VFR,VFR,TRUE,,CAN-0022,TRUE,anac_helipontos,SP0594,SJBG
CAN-0023,heliponto,existente,Birmann 32,-23.589167,-46.6825,Elevado,21,4.5,VFR,VFR,TRUE,,CAN-0022,FALSE,anac_helipontos,SP1428,SN66
CAN-0024,heliponto,existente,Blue Tree Tower Faria Lima,-23.591111,-46.680833,Elevado,18,3,VFR,VFR,FALSE,resistencia cadastral abaixo do mtow evtol de referencia,CAN-0024,TRUE,anac_helipontos,SP0764,SSOA
CAN-0025,heliponto,existente,Brascan Century Plaza,-23.584167,-46.675556,Elevado,21,4.5,VFR,VFR,TRUE,,CAN-0025,TRUE,anac_helipontos,SP0506,SIIR
CAN-0026,heliponto,existente,C.T.O. Itaú,-23.557778,-46.615556,Elevado,19.5,4,VFR,VFR,TRUE,,CAN-0026,TRUE,anac_helipontos,SP0694,SNDK
CAN-0027,heliponto,existente,CYK,-23.566111,-46.651667,Elevado,21,5,VFR,VFR,TRUE,,CAN-0027,TRUE,anac_helipontos,SP0440,SDWB
CAN-0028,heliponto,existente,Carmo Couri,-23.596667,-46.685278,Elevado,18,4,VFR,Sem Operação,TRUE,,CAN-0028,TRUE,anac_helipontos,SP0449,SDYA
CAN-0029,heliponto,existente,Centro Empresarial Iudice,-23.513611,-46.694722,Elevado,20,4,VFR,VFR,TRUE,,CAN-0029,TRUE,anac_helipontos,SP0430,SDUI
CAN-0030,heliponto,existente,Centro Empresarial Nações Unidas-Torre Norte,-23.610278,-46.696389,Elevado,19.5,3,VFR,VFR,FALSE,resistencia cadastral abaixo do mtow evtol de referencia,CAN-0030,TRUE,anac_helipontos,SP0730,SNSQ
CAN-0031,heliponto,existente,Centro Empresarial de São Paulo,-23.650833,-46.727778,Elevado,21,5,VFR,Sem Operação,TRUE,,CAN-0031,TRUE,anac_helipontos,SP0774,SSQY
CAN-0032,heliponto,existente,Cetenco Plaza - Torre Norte,-23.558611,-46.6575,Elevado,18,3,VFR,Sem Operação,FALSE,resistencia cadastral abaixo do mtow evtol de referencia,CAN-0032,TRUE,anac_helipontos,SP0348,SDHT
CAN-0033,heliponto,existente,Cidade,-23.545833,-46.6325,Elevado,21,4.25,VFR,VFR,TRUE,,CAN-0033,TRUE,anac_helipontos,SP0353,SDIA
CAN-0034,heliponto,existente,Citibank,-23.565,-46.653611,Elevado,19.6,4,VFR,VFR,TRUE,,CAN-0034,TRUE,anac_helipontos,SP0306,SDCV
CAN-0035,heliponto,existente,Comando G8,-23.472778,-46.639722,Elevado,18,1.5,VFR,Sem Operação,FALSE,resistencia cadastral abaixo do mtow evtol de referencia,CAN-0035,TRUE,anac_helipontos,SP1297,SI8S
CAN-0036,heliponto,existente,Cometa Vila Maria,-23.517222,-46.579167,Elevado,20,4,VFR,VFR,TRUE,,CAN-0036,TRUE,anac_helipontos,SP0672,SJWC
CAN-0037,heliponto,existente,Company,-23.572778,-46.703333,Elevado,18,3,VFR,VFR,FALSE,resistencia cadastral abaixo do mtow evtol de referencia,CAN-0037,TRUE,anac_helipontos,SP1280,SI74
CAN-0038,heliponto,existente,Conde Francisco Matarazzo,-23.563333,-46.652778,Elevado,24,6,VFR,VFR,TRUE,,CAN-0038,TRUE,anac_helipontos,SP0437,SDVU
CAN-0039,heliponto,existente,Condomínio América Business Park,-23.618611,-46.703056,Elevado,18,3,VFR,VFR,FALSE,resistencia cadastral abaixo do mtow evtol de referencia,CAN-0039,TRUE,anac_helipontos,SP0370,SDKD
CAN-0040,heliponto,existente,Condomínio Conde Matarazzo,-23.5475,-46.6375,Elevado,18,3,VFR,VFR,FALSE,resistencia cadastral abaixo do mtow evtol de referencia,CAN-0040,TRUE,anac_helipontos,SP0390,SDNP
CAN-0041,heliponto,existente,Condomínio Edifício Berrini 1681,-23.611389,-46.694444,Elevado,18,4.5,VFR,VFR,TRUE,,CAN-0003,FALSE,anac_helipontos,SP0580,SIYZ
